backend,bucket,repetition,keygen_ms,prove_ms,verify_us,proof_bytes,peak_rss_bytes
halo2,2,1,43518,37877,214132,9664,2081914880
halo2,2,2,42638,36410,155357,9664,2081914880
halo2,2,3,44178,37443,150754,9664,2081914880
halo2,4,1,48413,38933,165758,9664,2208169984
halo2,4,2,45998,36735,182528,9664,2208169984
halo2,4,3,44916,37332,205147,9664,2208169984
halo2,8,1,55942,38508,197919,9664,1760526336
halo2,8,2,55239,41277,146942,9664,1760526336
halo2,8,3,54738,32239,101510,9664,1760526336
halo2,16,1,63014,42995,191698,9664,1506328576
halo2,16,2,66636,34073,131355,9664,1506328576
halo2,16,3,58752,22283,88030,9664,1506328576
